game_id,home_team,away_team,home_dsr,away_dsr,home_gc,away_gc,home_gc_signed,away_gc_signed,home_gc_avg,away_gc_avg,home_gc_fourthqtr,away_gc_fourthqtr
2015_01_BAL_DEN,DEN,BAL,0.625,0.5263157894736842,116.85688,61.143116,27.85688,-27.856878,0.15562502898317476,-0.1556250183275958,13.078272640705109,-13.07827278971672
2015_01_CAR_JAX,JAX,CAR,0.6428571428571429,0.64,64.56222,115.43777,-25.437777,25.437777,-0.14054020201962297,0.14054020201962297,-19.903086029924452,19.903085947036743
2015_01_CIN_OAK,LV,CIN,0.6086956521739131,0.7307692307692307,24.082153,153.91783,-64.91782,64.91782,-0.3626694066564464,0.3626694066564464,-22.731620484759333,22.73162066936493
2015_01_CLE_NYJ,NYJ,CLE,0.7272727272727273,0.6521739130434783,110.66218,52.337795,29.162199,-29.162197,0.17781828670966915,-0.17781827507949458,19.21419394016266,-19.21419382316526
2015_01_DET_SD,LAC,DET,0.8064516129032258,0.6666666666666666,77.29789,91.70215,-7.2021074,7.2021074,-0.04236533782061409,0.04236533782061409,16.00377058982849,-16.003770757466555
2015_01_GB_CHI,CHI,GB,0.7857142857142857,0.8695652173913043,78.6111,112.388916,-16.888893,16.888893,-0.08796298503875732,0.08796298503875732,-19.081182257272303,19.08118224143982
2015_01_IND_BUF,BUF,IND,0.6666666666666666,0.75,153.32777,25.67218,63.827827,-63.827827,0.3545990414089627,-0.3545990414089627,25.230022132396698,-25.230022092349827
2015_01_KC_HOU,HOU,KC,0.6571428571428571,0.6551724137931034,28.065283,168.93472,-70.43471,70.43471,-0.35573084667475535,0.35573084667475535,-27.42472180398181,27.424721658229828
2015_01_MIA_WAS,WAS,MIA,0.72,0.6818181818181818,90.80668,80.193306,5.3066998,-5.3067017,0.03085290553957917,-0.030852916628815407,-12.806683972477913,12.806684046983719
2015_01_MIN_SF,SF,MIN,0.7777777777777778,0.5909090909090909,113.56437,47.43562,33.064365,-33.064365,0.20410102090717833,-0.20410102090717833,17.112344563007355,-17.112344526452944
2015_01_NO_ARI,ARI,NO,0.7391304347826086,0.6153846153846154,135.54503,56.454914,39.545048,-39.545048,0.2048966205181853,-0.2048966205181853,17.453749299049377,-17.453749192878604
2015_01_NYG_DAL,DAL,NYG,0.8064516129032258,0.6521739130434783,67.999504,105.0005,-18.500494,18.500494,-0.10632467817986148,0.10632467817986148,-13.832177892327309,13.832177937030792
2015_01_PHI_ATL,ATL,PHI,0.6551724137931034,0.7,149.1675,46.832516,51.167477,-51.167477,0.25973338403072455,-0.25973338403072455,10.504086554050446,-10.504086419939995
2015_01_PIT_NE,NE,PIT,0.8275862068965517,0.7586206896551724,142.99649,31.003496,55.9965,-55.99649,0.31997998918805803,-0.3199799455915179,24.77568119764328,-24.77568129368592
2015_01_SEA_STL,LA,SEA,0.75,0.7037037037037037,108.80866,81.19135,13.808644,-13.808646,0.0722965669881611,-0.07229657697427959,0.08753123879432678,-0.08753138780593872
2015_01_TEN_TB,TB,TEN,0.6666666666666666,0.782608695652174,15.227404,156.77257,-70.7726,70.7726,-0.4090901633907605,0.4090901633907605,-25.238057866692543,25.238057851791382
2015_02_ARI_CHI,CHI,ARI,0.6,0.8181818181818182,41.397747,151.60223,-55.102245,55.102238,-0.2840321924268585,0.28403215310008256,-22.55605179227132,22.556051790714264
2015_02_ATL_NYG,NYG,ATL,0.6923076923076923,0.8,110.70837,75.29161,17.708408,-17.708408,0.09469737088616519,-0.09469737088616519,6.264879539608955,-6.264879643917084
2015_02_BAL_OAK,LV,BAL,0.7777777777777778,0.75,132.28682,74.71319,28.786821,-28.786818,0.13839817964113676,-0.13839816130124605,6.59983766078949,-6.599837578833103
2015_02_DAL_PHI,PHI,DAL,0.5652173913043478,0.6153846153846154,51.219822,132.7802,-40.7802,40.7802,-0.2204335186932538,0.2204335186932538,-23.964536708663218,23.96453684568405
2015_02_DEN_KC,KC,DEN,0.6521739130434783,0.6666666666666666,118.3857,65.6143,26.385685,-26.385685,0.14262532414616766,-0.14262532414616766,6.6481431648135185,-6.648143284022808
2015_02_DET_MIN,MIN,DET,0.75,0.7037037037037037,153.90915,25.09081,64.40919,-64.40918,0.35782881842719183,-0.3578287760416667,25.453681588172913,-25.453681647661142
2015_02_HOU_CAR,CAR,HOU,0.6774193548387096,0.5714285714285714,145.7051,69.294914,38.205097,-38.2051,0.17687544999299226,-0.17687546765362774,21.587888956069946,-21.587889079004526
2015_02_MIA_JAX,JAX,MIA,0.6,0.6,126.74521,62.25476,32.24523,-32.245235,0.16971174541272616,-0.16971176549008019,7.943559139966965,-7.943558983504772
2015_02_NE_BUF,BUF,NE,0.7096774193548387,0.7272727272727273,41.337387,169.66261,-64.16262,64.16262,-0.3026538704926113,0.3026538704926113,-24.86390129569918,24.863901436328888
2015_02_NYJ_IND,IND,NYJ,0.6086956521739131,0.64,44.216908,123.78313,-39.7831,39.7831,-0.23540295933830668,0.23540295933830668,-18.48815903288778,18.4881591796875
2015_02_SD_CIN,CIN,LAC,0.6956521739130435,0.6923076923076923,122.38182,44.618195,38.881798,-38.881798,0.23143927256266275,-0.23143927256266275,19.042236149311066,-19.042236123234034
2015_02_SEA_GB,GB,SEA,0.6923076923076923,0.7142857142857143,124.40619,50.593765,36.906227,-36.90623,0.20969447222622958,-0.20969449390064587,13.766898930072784,-13.766899045556784
2015_02_SF_PIT,PIT,SF,0.8636363636363636,0.7575757575757576,157.03145,23.968605,66.53142,-66.53142,0.3655572409158225,-0.3655572409158225,24.67478096485138,-24.674780972294684
